RecordID_Int,Basement,BasementGarage,Bedrooms,BasementType,ExternalWalls,FinishedBasement,Flooring,Fireplace,FullBathrooms,Grade,HalfBathrooms,Heating,NumberOfStories,ParcelNumber,Roof,SquareFootageFinishedLiving,StreetName,StreetNumber,Style,TotalRooms,Unit,UseCode,YearBuilt
1,0,0,4,No Basement,Wood,0,None,0,4,A,0,Forced Air,2.00,010001600,Metal,3672,MASSIE RD,600,2 Story,8,,Multipurpose Bldg (College),1920
2,0,,,,,0,,,,,,,,010005000,,,BARRACKS RD,2030,,,,Vacant Land,
3,1163,0,6,Walkout Basement,Brick Veneer,1018,Hardwood,2,4,A,1,Hot Water Radiator,2.00,010006000,Arch Shingles,3305,BARRACKS RD,2028,2 Story,10,,Single Family,1940
4,1699,0,5,Partial Basement,Brick Veneer,1468,Hardwood,3,4,A -,1,Hot Water Radiator,2.00,010007000,Slate,5474,DAIRY RD,1930,2 Sty Excellent,13,,Single Family,1939
5,0,,,,,0,,,,,,,,010008000,,,BARRACKS RD,1924,,,,Vacant Land,
6,1260,0,4,Cellar,Brick Veneer,,Hardwood,1,3,A -,1,Hot Water Radiator,2.00,010009000,Slate,3064,BARRACKS RD,1920,2 Sty Excellent,8,,Single Family,1939
7,1527,0,4,Full Basement,Hardy Board,1375,Hardwood,2,3,B++,2,Forced Air,1.50,010010000,Arch Shingles,2144,WESTVIEW RD,1851,1.5 Story,9,,Single Family,1950
8,2492,1,6,Partial Basement,Brick Veneer,1573,Hardwood,1,5,B +,0,Forced Air,1.75,010011000,Arch Shingles,4321,WESTVIEW RD,1855,1.5 Story,14,,Single Family,1954
9,,1,3,No Basement,Brick Veneer,,Hardwood,1,2,B++,0,Forced Air,1.0,010012000,Arch Shingles,2520,WESTVIEW RD,1857,Split-Level (Avg),8,,Single Family,1952
10,1671,0,5,Partial Basement,Brick/Masonry,1330,Hardwood,1,4,A -,2,Forced Air,1.50,010014000,Slate,2584,WESTVIEW RD,1885,1.5 Sty Excellent,11,,Single Family,1941
11,1166,0,4,Partial Basement,Brick Veneer,779,Hardwood,2,4,B +,0,Heat Pump,2.00,010015000,Shingles,2924,WESTVIEW RD,1889,2 Sty Excellent,11,,Single Family,1952
12,,0,4,No Basement,Wood,,Other,2,2,B++,0,Radiant,2.00,010016000,Shingles,2396,WESTVIEW RD,1891,2 Story,7,,Single Family,1940
13,1776,0,2,Full Basement,Brick Veneer,1170,Hardwood,2,4,A -,0,Forced Air,1.75,010017000,Arch Shingles,3108,WESTVIEW RD,1893,1.5 Sty (Avg),11,,Single Family-1 Conversion,1958
14,1770,0,7,Partial Basement,Brick Veneer,1574,Hardwood,2,6,B++,0,Forced Air,1.66,010017100,Arch Shingles,4492,WESTVIEW RD,1895,1.5 Story,19,,Single Family-2 Conversion,1958
15,,0,3,No Basement,Wood,,Hardwood,1,2,B,1,Heat Pump,2.00,010019000,Arch Shingles,2080,WESTVIEW RD,1890,2 Sty No Bsmt,6,,Single Family,2002
16,640,0,5,Partial Basement,Brick Veneer,640,Hardwood,1,4,A -,2,Forced Air,2.00,010020000,Arch Shingles,4368,WESTVIEW RD,1888,2 Story,12,,Single Family,1951
17,,0,3,No Basement,Brick Veneer,,Tile,1,3,A,1,Forced Air,1.00,010021000,Arch Shingles,2820,WESTVIEW RD,1884,1 Sty Excellent,8,,Single Family,1950
18,,0,5,No Basement,Brick Veneer,,Hardwood,2,4,A -,2,Heat Pump,1.75,010022000,Arch Shingles,3720,WESTVIEW RD,1882,1.5 Story,10,,Single Family,1970
19,,0,3,No Basement,Brick Veneer,,Hardwood,2,2,B +,1,Hot Water Radiator,1.75,010023000,Shingles,2743,WESTVIEW RD,1880,1.5 Story,9,,Single Family,1950
20,1360,0,4,Full Basement,Brick Veneer,927,Hardwood,1,3,B +,0,Hot Water Radiator,1.50,010024000,Arch Shingles,2258,WESTVIEW RD,1878,1.5 Story,10,,Single Family,1947
21,,0,4,No Basement,Wood,,Hardwood,1,3,A -,2,Heat Pump,1.66,010024A00,Arch Shingles,3783,WESTVIEW RD,1876,1.5 Story,11,,Single Family,2002
22,,0,1,No Basement,Wood,,Tile,0,1,C +,0,Forced Air,1.00,010026000,Shingles,544,WESTVIEW RD,1852,1 Story,3,,Single Family,1951
23,450,0,4,Partial Basement,Wood,,Hardwood,1,3,B +,0,Hot Water Radiator,1.00,010026000,Shingles,2900,WESTVIEW RD,1852,1 Story,8,,Single Family,1951
24,,0,3,No Basement,Brick Veneer,,Hardwood,2,3,B +,1,Forced Air,1.00,010027000,Arch Shingles,2321,FIELD RD,1863,1 Sty No Bsmt,7,,Single Family,1953
25,,0,3,No Basement,Vinyl,,W/W Carpet,2,2,B +,1,Forced Air,1.00,010028000,Shingles,2621,FIELD RD,1865,1 Sty No Bsmt,7,,Single Family,1953
26,,0,3,No Basement,Wood,,Hardwood,1,4,B +,0,Hot Water Radiator,1.50,010029000,Arch Shingles,3464,FIELD RD,1867,1.5 Story,7,,Single Family,1953
27,434,0,3,Cellar,Brick Veneer,,Hardwood,1,3,B +,0,Forced Air,1.5,010030000,Arch Shingles,3142,FIELD RD,1869,1.5 Sty (Avg),6,,Single Family,1953
28,1372,0,3,Partial Basement,Brick Veneer,,Hardwood,1,2,B +,0,Forced Air,1.00,010030100,Arch Shingles,1984,FIELD RD,1871,1 Story,7,,Single Family,1954
29,,0,4,No Basement,Brick Veneer,,Hardwood,2,2,B,1,Hot Water Radiator,1.00,010031000,Shingles,2574,FIELD RD,1873,1 Sty No Bsmt,11,,Single Family,1952
30,2230,0,7,Partial Basement,Brick Veneer,985,Hardwood,2,4,B +,1,Hot Water Radiator,1.00,010032000,Arch Shingles,2935,FIELD RD,1877,1 Sty w/ Bsmt,12,,Single Family,1952
31,1368,0,4,Walkout Basement,Brick Veneer,989,Hardwood,1,3,B,No dat,Forced Air,1.00,010033000,Shingles,1368,FIELD RD,1884,1 Sty (Avg),3,,Single Family-1 Conversion,1954
32,1472,0,5,Walkout Basement,Brick Veneer,1278,Hardwood,1,4,B++,1,Forced Air,1.00,010034000,Arch Shingles,2956,FIELD RD,1882,1.5 Story,12,,Single Family,1952
33,1141,0,3,Full Basement,Wood,519,Hardwood,2,2,B,1,Forced Air,1.50,010035000,Shingles,1560,FIELD RD,1874,1.5 Story,6,,Single Family,1953
34,1550,0,4,Partial Basement,Brick Veneer,1496,Hardwood,1,3,B,1,Heat Pump,1.00,010036000,Arch Shingles,2497,FIELD RD,1872,1.5 Sty (Avg),9,,Single Family,1958
35,1780,0,3,Partial Basement,Brick Veneer,710,Hardwood,1,3,B +,1,Forced Air,1.50,010037000,Shingles,3008,FIELD RD,1870,1.5 Sty (Avg),8,,Single Family,1953
36,2160,0,4,Walkout Basement,Hardy Board,990,Hardwood,4,4,B++,1,Heat Pump,2.0,010038000,Arch Shingles,3480,FIELD RD,1868,Split-Level Exc,10,,Single Family,1952
37,1640,0,4,Partial Basement,Brick Veneer,1139,Hardwood,1,3,B,0,Forced Air,1.00,010039000,Shingles,1810,FIELD RD,1866,1 Sty w/ Bsmt,10,,Single Family,1953
38,1584,0,4,Full Basement,Brick Veneer,1584,Hardwood,1,3,B +,0,Forced Air,1.00,010040000,Arch Shingles,1596,FIELD RD,1864,1 Sty w/ Bsmt,6,,Single Family,1953
39,2971,0,3,Partial Basement,Hardy Board,2651,Hardwood,1,3,B++,2,Hot Water Radiator,1.00,010041000,Arch Shingles,3992,FENDALL TER,906,1 Sty (Avg),10,,Single Family,2005
40,1750,0,4,Walkout Basement,Brick Veneer,290,Hardwood,1,3,B +,0,Hot Water Radiator,2.00,010042000,Shingles,2831,WINSTON RD,1859,2 Story,10,,Single Family,1948
41,1231,0,3,Walkout Basement,Hardy Board,1231,Hardwood,2,3,B++,0,Forced Air,1.00,010043000,Metal,1350,WINSTON RD,1861,1 Sty Excellent,9,,Single Family,1954
42,1684,0,5,Partial Basement,Wood,1111,Hardwood,2,3,B++,1,Hot Water Radiator,2.00,010044000,Arch Shingles,3548,WINSTON RD,1863,2 Sty Excellent,8,,Single Family,1945
43,694,0,5,Partial Basement,Wood,,Hardwood,1,2,B +,1,Forced Air,2.00,010045000,Shingles,2828,WINSTON RD,1867,2 Sty Excellent,10,,Single Family,1936
44,1836,0,3,Full Basement,Brick Veneer,818,Hardwood,2,3,A,1,Hot Water Radiator,2.00,010046000,Arch Shingles,3552,FENDALL TER,901,2 Story,8,,Single Family,1939
45,2138,1,4,Partial Basement,Hardy Board,2138,Hardwood,3,3,B +,1,Hot Water Radiator,2.0,010047000,Arch Shingles,3949,FENDALL TER,905,2 Story w/ Bsmt,11,,Single Family,1946
46,0,,,,,0,,,,,,,,010048100,,,EMMET ST N,904,,,,Vacant Land,
47,0,,,,,0,,,,,,,,010049000,,,EMMET ST N,900,,,,Vacant Land,
48,0,,,,,0,,,,,,,,010049100,,,EMMET ST N,902,,,,Vacant Land,
49,0,,,,,0,,,,,,,,020001000,,,BARRACKS RD,1916,,,,Vacant Land,
50,,0,0,N/A,Not Applicable,,None,0,0,C,0,Not Applicable,0,020002000,N/A,600,BARRACKS RD,1914,No Style,0,,Vacant Land,0
51,0,,,,,0,,,,,,,,020002000,,,BARRACKS RD,1914,,,,Vacant Land,
52,1271,0,3,Partial Basement,Brick Veneer,1080,Hardwood,2,3,A -,1,Forced Air,2.00,020003000,Slate,3052,BARRACKS RD,1910,2 Story,8,,Single Family,1932
53,,0,0,No Basement,Stone,,Hardwood,0,1,C -,0,Baseboard,1.00,020003000,Shingles,308,BARRACKS RD,1910,1 Story,2,,Single Family,1933
54,1377,0,3,Full Basement,Wood,1154,Hardwood,1,3,B -,0,Forced Air,1.00,020004000,Shingles,1377,BUCKINGHAM RD,120,1 Story,7,,Single Family,1954
55,1244,1,4,Partial Basement,Brick Veneer,923,Hardwood,2,3,A -,0,Hot Water Radiator,2.00,020005000,Arch Shingles,3100,BUCKINGHAM RD,128,2 Story,10,,Single Family,1954
56,1766,0,3,Full Basement,Brick Veneer,1327,Hardwood,2,3,B,0,Forced Air,1.00,020006000,Shingles,2208,BUCKINGHAM RD,108,1 Story,10,,Single Family,1956
57,1645,0,5,Walkout Basement,Brick Veneer,1239,Hardwood,2,4,C++,0,Forced Air,2.00,020006100,Arch Shingles,2286,BUCKINGHAM RD,110,Split-Level (Avg),11,,Single Family-1 Conversion,1956
58,1200,0,4,Full Basement,Brick Veneer,1200,Hardwood,2,3,B -,0,Forced Air,2.00,020006200,Shingles,1200,BUCKINGHAM RD,114,Split-Level (Avg),8,,Single Family,1957
59,1247,0,4,Full Basement,Brick Veneer,1047,Hardwood,3,2,B +,1,Heat Pump,1.66,020006300,Arch Shingles,2070,BUCKINGHAM RD,118,1.5 Story,8,,Single Family,1954
60,1746,0,3,Full Basement,Brick Veneer,1150,Hardwood,2,3,B +,0,Forced Air,1.50,020007000,Arch Shingles,2571,BUCKINGHAM RD,104,1.5 Sty (Avg),8,,Single Family-1 Conversion,1956
61,1069,0,5,Walkout Basement,Stucco,1035,Hardwood,2,2,C,0,Forced Air,1.25,020008000,Metal,1259,BARRACKS RD,1820,1 Sty (Avg),5,,Single Family-1 Conversion,1953
62,1170,0,3,Full Basement,Brick Veneer,1050,Hardwood,1,3,C,0,Forced Air,1.00,020009000,Shingles,1170,BARRACKS RD,1812,1 Story,6,,Single Family,1957
63,1412,0,6,Walkout Basement,Brick Veneer,1273,Hardwood,2,4,C,0,Hot Water Radiator,1.00,020010000,Shingles,1728,HOWARD DR,116,1 Sty (Avg),7,,Single Family-2 Conversion,1951
64,1435,0,4,Walkout Basement,Stucco,718,Hardwood,2,3,C,0,Hot Water Radiator,1.00,020012000,Arch Shingles,1435,HOWARD DR,112,1 Sty (Avg),8,,Single Family-1 Conversion,1950
65,1195,0,5,Walkout Basement,Stucco,825,Hardwood,2,2,C,1,Forced Air,1.25,020013000,Shingles,1344,HOWARD DR,110,1 Sty (Avg),12,,Single Family-1 Conversion,1952
66,852,0,3,Walkout Basement,Brick Veneer,583,Hardwood,1,3,B,1,Forced Air,1.50,020014000,Shingles,1278,BARRACKS RD,1808,1.5 Sty (Avg),6,,Single Family-1 Conversion,1955
67,1384,0,4,Partial Basement,Brick Veneer,1384,Hardwood,2,3,C++,0,Forced Air,1.00,020015000,Shingles,1527,BARRACKS RD,1806,1 Sty (Avg),10,,Single Family-1 Conversion,1952
68,,0,3,No Basement,Wood,,W/W Carpet,1,2,B +,1,Heat Pump,2.00,020016000,Shingles,2382,BARRACKS RD,1800,2 Story,8,,Single Family,1979
69,,0,3,No Basement,Wood,,Hardwood,1,2,B -,1,Heat Pump,2.00,020016100,Arch Shingles,1755,RUGBY RD,1107,2 Sty No Bsmt,7,,Single Family,1979
70,,No dat,3,No Basement,Hardy Board,,Hardwood,No dat,2,C++,1,Forced Air,2.0,020016200,Shingles,2074,RUGBY RD,1109,2 Story,9,,Single Family,2014
71,988,0,4,Partial Basement,Brick Veneer,494,Hardwood,1,2,B++,0,Hot Water Radiator,1.50,020017000,Shingles,1860,RUGBY RD,1105,1.5 Story,7,,Single Family,1951
72,952,0,5,Cellar,Wood,,Hardwood,1,4,A -,1,Hot Water Radiator,2.00,020019000,Slate,4888,RUGBY RD,1101,2 Sty Excellent,10,,Single Family,1925
73,961,0,4,Partial Basement,Stucco,496,Hardwood,1,3,B +,0,Forced Air,2.00,020019100,Metal,2818,ROSSER LN,947,2 Story,9,,Single Family,1990
74,510,0,5,Partial Basement,Brick Veneer,299,Hardwood,1,3,A -,1,Forced Air,1.00,020020000,Arch Shingles,3701,ROSSER LN,945,1.5 Story,10,,Single Family,1952
75,1240,2,4,Partial Basement,Brick Veneer,500,Hardwood,2,2,B +,1,Heat Pump,2.00,020021000,Arch Shingles,2800,ROSSER LN,941,2 Story w/ Bsmt,8,,Single Family,1971
76,1133,1,3,Partial Basement,Brick Veneer,768,Hardwood,2,2,A,1,Forced Air,2.00,020022000,Shingles,2362,ROSSER LN,939,2 Sty Excellent,7,,Single Family,1969
77,720,0,4,Partial Basement,Brick Veneer,,Hardwood,3,5,A++,2,Forced Air,2.00,020023000,Copper,3756,WESTVIEW RD,1801,2 Sty Excellent,9,,Single Family,1953
78,1910,1,3,Walkout Basement,Brick Veneer,860,Hardwood,2,3,A -,2,Forced Air,1.50,020023100,Slate,3630,WESTVIEW RD,1829,1.5 Story,9,,Single Family,1964
79,864,1,3,Partial Basement,Board & Batten,200,Hardwood,1,2,B++,1,Forced Air,1.66,020023A00,Arch Shingles,2492,ROSSER LN,921,1.5 Story,8,,Single Family,2000
80,919,0,6,Partial Basement,Brick Veneer,850,Hardwood,6,3,A++,1,Hot Water Radiator,2.00,020024000,Slate,3706,WESTVIEW RD,1833,2 Sty Excellent,13,,Single Family,1940
81,1307,0,4,Partial Basement,Brick Veneer,876,Hardwood,2,3,A -,1,Heat Pump,2.00,020025000,Arch Shingles,3921,WESTVIEW RD,1839,2 Sty Superior,12,,Single Family,1939
82,0,,,,,0,,,,,,,,020025A00,,,WESTVIEW RD,0,,,,Vacant Land,
83,1515,0,3,Walkout Basement,Brick Veneer,938,Hardwood,2,2,A +,1,Forced Air,2.00,020026000,Slate,2926,WESTVIEW RD,1861,2 Sty Superior,12,,Single Family,1940
84,765,0,4,Full Basement,Brick Veneer,765,Hardwood,2,3,B,2,Hot Water Radiator,1.75,020027000,Shingles,3654,WESTVIEW RD,1848,1.5 Story,9,,Single Family,1950
85,752,0,4,Cellar,Brick Veneer,,Hardwood,2,4,B +,0,Forced Air,1.25,020028000,Arch Shingles,2518,WESTVIEW RD,1844,1 Sty Excellent,10,,Single Family,1951
86,360,0,5,Cellar,Brick Veneer,,Hardwood,2,3,B,2,Hot Water Radiator,1.50,020029000,Arch Shingles,3454,WESTVIEW RD,1834,1.5 Story,9,,Single Family,1951
87,1054,0,5,Partial Basement,Brick Veneer,1054,Hardwood,1,7,B++,0,Forced Air,2.00,020031000,Arch Shingles,4568,FIELD RD,1859,2 Sty Excellent,10,,Single Family,1953
88,1568,0,5,Partial Basement,Brick Veneer,1106,Hardwood,2,5,B +,1,Forced Air,1.0,020032000,Arch Shingles,2380,FIELD RD,1861,Split-Level Exc,11,,Single Family,1956
89,1740,0,8,Full Basement,Brick Veneer,1585,Hardwood,1,4,B -,0,Forced Air,1.50,020033000,Arch Shingles,2610,FIELD RD,1862,1.5 Story,10,,Duplex,1953
90,1272,0,2,Partial Basement,Wood,214,Hardwood,1,2,B +,1,Forced Air,1.00,020034000,Metal,1532,WINSTON RD,1857,1 Sty w/ Bsmt,6,,Single Family,1949
91,1216,0,8,Full Basement,Brick Veneer,1216,Hardwood,2,3,B,0,Hot Water Radiator,1.90,020035000,Metal,2310,WINSTON RD,1855,1.5 Story,12,,Single Family,1951
92,1340,0,3,Partial Basement,Wood,669,Hardwood,3,3,B -,0,Hot Water Radiator,1.50,020036000,Shingles,2343,WINSTON RD,1851,1.5 Sty (Avg),9,,Single Family-1 Conversion,1951
93,2005,0,3,Full Basement,Brick Veneer,653,Hardwood,2,4,B +,0,Forced Air,1.50,020037000,Shingles,2970,FIELD RD,1860,1.5 Sty (Avg),9,,Single Family-1 Conversion,1953
94,1714,0,5,Walkout Basement,Wood,1302,Hardwood,3,4,B -,0,Radiant,2.00,020038000,Arch Shingles,2518,FIELD RD,1858,2 Story w/ Bsmt,9,,Single Family,1953
95,1730,0,3,Walkout Basement,Brick Veneer,947,Hardwood,1,4,B,0,Forced Air,1.50,020039000,Shingles,2595,WINSTON RD,1849,1.5 Sty (Avg),6,,Single Family-1 Conversion,1954
96,570,0,2,Partial Basement,Aluminum,,Hardwood,1,1,C++,0,Forced Air,1.00,020040000,Shingles,934,WINSTON RD,1847,1 Story,4,,Single Family,1947
97,1130,0,4,Partial Basement,Wood,1000,Hardwood,2,3,B +,1,Forced Air,1.50,020041000,Shingles,1565,WINSTON RD,1843,1.5 Story,8,,Single Family,1952
98,769,0,3,Walkout Basement,Brick Veneer,769,Hardwood,2,3,B++,0,Hot Water Radiator,1.0,020042000,Arch Shingles,1639,FIELD RD,1856,Split-Level Exc,7,,Single Family,1952
99,1705,0,5,Full Basement,Brick Veneer,1188,Hardwood,1,3,B +,0,Forced Air,1.00,020043000,Shingles,1705,FIELD RD,1854,1 Sty w/ Bsmt,9,,Single Family,1953
100,,0,3,No Basement,Brick Veneer,,Hardwood,1,1,B +,1,Hot Water Radiator,1.00,020044000,Arch Shingles,2081,OLD FARM RD,919,1 Sty No Bsmt,6,,Single Family,1952
101,1807,0,4,Full Basement,Wood,1424,Hardwood,1,4,B -,0,Hot Water Radiator,1.00,020045000,Shingles,1807,OLD FARM RD,913,1 Story,9,,Single Family-1 Conversion,1954
102,686,0,3,Walkout Basement,Brick Veneer,534,Hardwood,2,3,B +,0,Forced Air,1.00,020046000,Arch Shingles,1944,OLD FARM RD,911,1 Story,7,,Single Family,1954
103,2164,0,5,Full Basement,Brick Veneer,960,Hardwood,2,3,B -,0,Forced Air,1.00,020047000,Shingles,2234,OLD FARM RD,907,1 Story,8,,Single Family,1960
104,1408,0,4,Walkout Basement,Brick Veneer,322,Hardwood,2,3,B +,0,Forced Air,1.66,020048000,Arch Shingles,2459,WINSTON RD,1839,1.5 Sty (Avg),10,,Single Family,1954
105,,0,3,No Basement,Brick Veneer,,Hardwood,2,2,B +,0,Hot Water Radiator,1.00,020049000,Arch Shingles,2535,WINSTON RD,1825,1 Sty Excellent,7,,Single Family,1952
106,,0,4,No Basement,Brick Veneer,,Hardwood,1,3,A,0,Heat Pump,2.0,020050000,Arch Shingles,3887,OLD FARM RD,910,2 Story,10,,Single Family,1954
107,,0,6,No Basement,Brick Veneer,,Hardwood,1,2,B +,1,Forced Air,1.66,020050100,Shingles,2790,OLD FARM RD,906,1 Sty Transitional,9,,Single Family,1955
108,,0,3,No Basement,Brick Veneer,,Hardwood,3,2,B++,1,Forced Air,1.00,020051000,Arch Shingles,2590,OLD FARM RD,912,1 Sty (Avg),8,,Single Family,1951
109,,0,4,No Basement,Wood,,Hardwood,1,2,B,0,Forced Air,1.00,020052000,Metal,2044,OLD FARM RD,916,1 Story,8,,Single Family,1954
110,,0,1,No Basement,Wood,,None,0,1,B,0,Heat Pump,1.5,020052000,Metal,1176,OLD FARM RD,916,1.5 Story,4,,Single Family,1980
111,520,0,3,Partial Basement,Wood,,Hardwood,3,3,B -,0,Heat Pump,1.50,020053000,Shingles,2659,WESTVIEW RD,1832,1.5 Story,6,,Single Family,1959
112,,0,3,No Basement,Stucco,,Hardwood,0,2,B,0,Heat Pump,1.50,020054000,Arch Shingles,1364,WINSTON RD,1823,1.5 Story,5,,Single Family,1981
113,1362,0,4,Partial Basement,Hardy Board,1362,Hardwood,2,3,B++,1,Heat Pump,1.00,020054100,Arch Shingles,1934,WINSTON RD,1821,1 Sty w/ Bsmt,8,,Single Family,1968
114,1164,0,4,Walkout Basement,Wood,589,Hardwood,1,3,B +,1,Heat Pump,1.75,020054200,Metal,2122,COTTAGE LN,905,1.5 Story,7,,Single Family,1979
115,399,No dat,3,Partial Basement,Wood,,Hardwood,1,3,B +,1,Heat Pump,2.00,020054300,Copper,3129,COTTAGE LN,907,2 Story,7,,Single Family,1890
116,,0,0,No Basement,Wood,,Hardwood,1,1,B,0,Forced Air,2.00,020054400,Shingles,1624,COTTAGE LN,909,2 Sty No Bsmt,5,,Single Family,1870
117,1632,0,4,Partial Basement,Hardy Board,1632,Hardwood,1,4,B +,1,Heat Pump,2.00,020054500,Metal,3480,COTTAGE LN,911,2 Story w/ Bsmt,8,,Single Family,2010
118,782,0,3,Partial Basement,Wood,500,Hardwood,1,3,B +,1,Forced Air,1.50,020054600,Arch Shingles,1803,COTTAGE LN,915,1.5 Sty Excellent,8,,Single Family,1975
119,,0,4,No Basement,Wood,,Hardwood,0,3,B,0,Forced Air,1.00,020055100,Shingles,2343,COTTAGE LN,904,1 Story,8,,Single Family,1973
120,986,0,4,Full Basement,Hardy Board,326,Hardwood,2,2,B -,1,Forced Air,2.00,020055101,Metal,1972,WESTVIEW RD,1828,2 Sty Excellent,9,,Single Family,1975
121,468,0,4,Partial Basement,Wood,,Hardwood,1,3,B -,0,Forced Air,2.00,020055110,Shingles,2126,COTTAGE LN,910,2 Story,8,,Triplex,1930
122,1734,0,3,Full Basement,Brick Veneer,1200,Hardwood,1,3,B++,0,Hot Water Radiator,1.00,020055200,Arch Shingles,1734,WINSTON RD,1815,1 Story,8,,Single Family,1967
123,1512,0,5,Walkout Basement,Brick Veneer,756,Hardwood,2,3,B -,0,Forced Air,1.00,020055300,Metal,1512,ROSSER LN,901,Split-Foyer Exc,9,,Single Family,1975
124,1512,0,3,Walkout Basement,Brick Veneer,1512,Hardwood,2,3,B -,0,Forced Air,1.00,020055400,Arch Shingles,1902,ROSSER LN,905,Split-Foyer Exc,8,,Single Family,1975
125,1512,0,4,Walkout Basement,Brick Veneer,970,Hardwood,2,3,B++,0,Forced Air,1.00,020055500,Arch Shingles,1512,ROSSER LN,907,Split-Foyer Exc,9,,Single Family,1975
126,1512,0,4,Walkout Basement,Brick Veneer,756,Hardwood,2,3,B -,0,Forced Air,1.00,020055600,Arch Shingles,1512,ROSSER LN,909,Split-Foyer Exc,8,,Single Family,1975
127,0,,,,,0,,,,,,,,020055700,,,WESTVIEW RD,1820,,,,Vacant Land,
128,1804,0,4,Partial Basement,Wood,869,Hardwood,3,4,A -,0,Hot Water Radiator,2.00,020055800,Arch Shingles,3542,WESTVIEW RD,1822,2 Story,12,,Single Family,1967
129,0,,,,,0,,,,,,,,020055900,,,WESTVIEW RD,1824,,,,Vacant Land,
130,896,0,3,Partial Basement,Brick Veneer,896,Hardwood,1,3,B +,0,Hot Water Radiator,1.00,020056000,Shingles,2440,ROSSER LN,900,1 Story,6,,Single Family,1951
131,896,0,3,Partial Basement,Brick Veneer,896,Hardwood,1,3,B +,0,Hot Water Radiator,1.00,020056000,Shingles,2440,ROSSER LN,900,1 Story,6,,Single Family,1951
132,592,No dat,1,Full Basement,Hardy Board,,Hardwood,No dat,1,B -,No dat,Heat Pump,1.25,020056000,Arch Shingles,720,ROSSER LN,900,1 Sty (Avg),3,,Single Family,2025
133,592,No dat,1,Full Basement,Hardy Board,,Hardwood,No dat,1,B -,No dat,Heat Pump,1.25,020056000,Arch Shingles,720,ROSSER LN,900,1 Sty (Avg),3,,Single Family,2025
134,,0,4,No Basement,Brick Veneer,,Hardwood,1,3,B++,1,Hot Water Radiator,2.00,020057000,Slate,3218,ROSSER LN,902,2 Sty No Bsmt,10,,Single Family,1948
135,1282,1,3,Full Basement,Wood,284,Hardwood,1,1,C +,0,Forced Air,1.00,020058000,Shingles,1282,ROSSER LN,908,1 Story,6,,Single Family,1951
136,858,0,3,Full Basement,Asbestos,337,Hardwood,1,2,B,1,Forced Air,1.50,020059000,Shingles,1424,ROSSER LN,912,1.5 Story,6,,Single Family,1952
137,1306,0,3,Partial Basement,Brick Veneer,900,Hardwood,1,3,B +,0,Heat Pump,1.50,020060000,Arch Shingles,2656,ROSSER LN,918,1.5 Story,8,,Single Family-1 Conversion,1955
138,2217,1,5,Full Basement,Brick Veneer,1577,Hardwood,2,4,B++,0,Hot Water Radiator,1.66,020061000,Arch Shingles,3096,ROSSER LN,920,1.5 Sty (Avg),13,,Single Family-1 Conversion,1952
139,1535,1,3,Partial Basement,Brick Veneer,763,Hardwood,1,3,B++,0,Forced Air,1.00,020062000,Shingles,2137,ROSSER LN,924,1 Story,10,,Single Family,1952
140,1579,2,4,Partial Basement,Hardy Board,,Hardwood,2,3,B++,0,Forced Air,1.66,020063000,Arch Shingles,3259,ROSSER LN,928,1.5 Sty (Avg),9,,Single Family,1953
141,775,0,3,Partial Basement,Brick Veneer,,Hardwood,1,3,B,0,Heat Pump,1.50,020064000,Metal,2241,ROSSER LN,932,1.5 Story,7,,Single Family,1953
142,1164,0,4,Partial Basement,Brick Veneer,479,Hardwood,3,3,B++,1,Hot Water Radiator,1.00,020065000,Arch Shingles,2708,ROSSER LN,938,1 Story,13,,Single Family,1952
143,,0,3,No Basement,Hardy Board,,Hardwood,1,2,B++,0,Hot Water Radiator,1.00,020066000,Metal,1949,ROSSER LN,942,1 Sty Excellent,8,,Single Family,1952
144,1810,2,5,Partial Basement,Brick/Masonry,800,Hardwood,5,4,A +,1,Hot Water Radiator,1.50,020068000,Slate,4453,RUGBY RD,1007,1.5 Sty Superior,11,,Single Family,1928
145,0,,,,,0,,,,,,,,020068100,,,RUGBY RD,935,,,,Vacant Land,
146,461,0,4,Partial Basement,Brick/Masonry,,Hardwood,4,4,A++,1,Hot Water Radiator,2.00,020069000,Slate,4395,RUGBY RD,933,2 Sty Superior,8,,Single Family,1930
147,1084,0,4,Partial Basement,Brick/Masonry,,Hardwood,5,3,A -,1,Hot Water Radiator,2.25,020070000,Slate,4480,RUGBY RD,929,2 Sty Excellent,11,,Single Family-1 Conversion,1925
148,1084,0,4,Partial Basement,Brick/Masonry,,Hardwood,5,3,A -,1,Hot Water Radiator,2.25,020070000,Slate,4480,RUGBY RD,929,2 Sty Excellent,11,,Single Family-1 Conversion,1925
149,396,0,1,Partial Basement,Brick/Masonry,,Hardwood,1,0,B -,0,Hot Water Radiator,1.00,020070000,Shingles,792,RUGBY RD,929,1 Sty (Avg),2,,Single Family-1 Conversion,1945
150,396,0,1,Partial Basement,Brick/Masonry,,Hardwood,1,0,B -,0,Hot Water Radiator,1.00,020070000,Shingles,792,RUGBY RD,929,1 Sty (Avg),2,,Single Family-1 Conversion,1945
151,0,,,,,0,,,,,,,,020071000,,,RUGBY RD,925,,,,Vacant Land,
152,1204,0,4,Partial Basement,Brick Veneer,,Hardwood,1,2,B++,1,Hot Water Radiator,1.66,020072000,Shingles,2438,RUGBY RD,921,1.5 Story,7,,Single Family,1930
